"","x"
"3986",12.5
"3987",12.5
"3988",6
"3989",22.5
"3990",0.5
"3991",17.5
"3992",8.5
"3993",12.5
"3994",2
"3995",27.5
"3996",12.5
"3997",0.5
"3998",22.5
"3999",12.5
"4000",4
"4001",2
"4002",12.5
"4003",27.5
"4004",17.5
"4005",6
"4006",6
"4007",8.5
"4008",8.5
"4009",17.5
"4010",12.5
"4011",32.5
"4012",2
"4013",6
"4014",12.5
"4015",6
"4016",17.5
"4017",2
"4018",2
"4019",12.5
"4020",0.5
"4021",27.5
"4022",12.5
"4023",8.5
"4024",12.5
"4025",4
"4026",4
"4027",6
"4028",8.5
"4029",22.5
"4030",37.5
"4031",8.5
"4032",12.5
"4033",4
"4034",12.5
"4035",8.5
"4036",17.5
"4037",12.5
"4038",17.5
"4039",12.5
"4040",27.5
"4041",17.5
"4042",2
"4043",2
"4044",12.5
"4045",12.5
"4046",22.5
"4047",6
"4048",12.5
"4049",2
"4050",2
"4051",6
"4052",0.5
"4053",6
"4054",4
"4055",4
"4056",6
"4057",17.5
"4058",4
"4059",12.5
"4060",22.5
"4061",62.5
"4062",2
"4063",17.5
"4064",37.5
"4065",8.5
"4066",4
"4067",12.5
"4068",2
"4069",8.5
"4070",42.5
"4071",12.5
"4072",4
"4073",0.5
"4074",8.5
"4075",2
"4076",8.5
"4077",2
"4078",12.5
"4079",2
"4080",8.5
"4081",4
"4082",12.5
"4083",12.5
"4084",2
"4085",17.5
"4086",4
"4087",17.5
"4088",37.5
"4089",17.5
"4090",12.5
"4091",17.5
"4092",22.5
"4093",12.5
"4094",2
"4095",6
"4096",0.5
"4097",8.5
"4098",12.5
"4099",6
"4100",6
"4101",22.5
"4102",8.5
"4103",8.5
"4104",12.5
"4105",8.5
"4106",6
"4107",4
"4108",17.5
"4109",17.5
"4110",2
"4111",12.5
"4112",2
"4113",47.5
"4114",8.5
"4115",4
"4116",8.5
"4117",17.5
"4118",6
"4119",17.5
"4120",12.5
"4121",37.5
"4122",12.5
"4123",4
"4124",6
"4125",0.5
"4126",12.5
"4127",37.5
"4128",0.5
"4129",17.5
"4130",8.5
"4131",2
"4132",12.5
"4133",6
"4134",8.5
"4135",17.5
"4136",17.5
"4137",8.5
"4138",2
"4139",0.5
"4140",6
"4141",6
"4142",4
"4143",8.5
"4144",6
"4145",62.5
"4146",4
"4147",4
"4148",52.5
"4149",4
"4150",4
"4151",22.5
"4152",37.5
"4153",22.5
"4154",8.5
"4155",2
"4156",4
"4157",6
"4158",6
"4159",32.5
"4160",2
"4161",12.5
"4162",27.5
"4163",4
"4164",2
"4165",8.5
"4166",2
"4167",2
"4168",4
"4169",2
"4170",4
"4171",12.5
"4172",4
"4173",8.5
"4174",17.5
"4175",2
"4176",22.5
"4177",2
"4178",2
"4179",17.5
"4180",6
"4181",0.5
"4182",37.5
"4183",27.5
"4184",42.5
"4185",4
"4186",17.5
"4187",12.5
"4188",2
"4189",27.5
"4190",8.5
"4191",8.5
"4192",4
"4193",22.5
"4194",4
"4195",0.5
"4196",8.5
"4197",2
"4198",22.5
"4199",22.5
"4200",12.5
"4201",0.5
"4202",6
"4203",6
"4204",4
"4205",4
"4206",37.5
"4207",4
"4208",6
"4209",27.5
"4210",37.5
"4211",27.5
"4212",8.5
"4213",32.5
"4214",2
"4215",17.5
"4216",6
"4217",8.5
"4218",12.5
"4219",12.5
"4220",8.5
"4221",22.5
"4222",22.5
"4223",2
"4224",8.5
"4225",17.5
"4226",22.5
"4227",4
"4228",42.5
"4229",4
"4230",8.5
"4231",4
"4232",27.5
"4233",0.5
"4234",6
"4235",8.5
"4236",6
"4237",22.5
"4238",32.5
"4239",2
"4240",17.5
"4241",12.5
"4242",4
"4243",32.5
"4244",2
"4245",2
"4246",4
"4247",4
"4248",17.5
"4249",2
"4250",12.5
"4251",77.5
"4252",2
"4253",27.5
"4254",12.5
"4255",8.5
"4256",2
"4257",12.5
"4258",8.5
"4259",4
"4260",8.5
"4261",27.5
"4262",4
"4263",52.5
"4264",2
"4265",4
"4266",12.5
"4267",22.5
"4268",4
"4269",2
"4270",2
"4271",17.5
"4272",8.5
"4273",2
"4274",6
"4275",12.5
"4276",4
"4277",8.5
"4278",22.5
"4279",32.5
"4280",2
"4281",17.5
"4282",4
"4283",22.5
"4284",12.5
"4285",12.5
"4286",52.5
"4287",2
"4288",37.5
"4289",6
"4290",32.5
"4291",32.5
"4292",12.5
"4293",2
"4294",32.5
"4295",22.5
"4296",6
"4297",4
"4298",52.5
"4299",6
"4300",8.5
"4301",8.5
"4302",2
"4303",8.5
"4304",4
"4305",17.5
"4306",12.5
"4307",22.5
"4308",4
"4309",12.5
"4310",2
"4311",6
"4312",12.5
"4313",6
"4314",12.5
"4315",8.5
"4316",52.5
"4317",4
"4318",2
"4319",0.5
"4320",8.5
"4321",2
"4322",12.5
"4323",12.5
"4324",4
"4325",0.5
"4326",8.5
"4327",6
"4328",8.5
"4329",17.5
"4330",17.5
"4331",4
"4332",22.5
"4333",47.5
"4334",4
"4335",4
"4336",8.5
"4337",17.5
"4338",4
"4339",12.5
"4340",12.5
"4341",6
"4342",4
"4343",32.5
"4344",6
"4345",22.5
"4346",8.5
"4347",4
"4348",8.5
"4349",2
"4350",12.5
"4351",6
"4352",4
"4353",37.5
"4354",12.5
"4355",12.5
"4356",4
"4357",2
"4358",12.5
"4359",4
"4360",0.5
"4361",17.5
"4362",22.5
"4363",4
"4364",12.5
"4365",32.5
"4366",17.5
"4367",17.5
"4368",37.5
"4369",27.5
"4370",6
"4371",32.5
"4372",17.5
"4373",8.5
"4374",8.5
"4375",0.5
"4376",0.5
"4377",12.5
"4378",17.5
"4379",52.5
"4380",8.5
"4381",22.5
"4382",22.5
"4383",52.5
"4384",4
"4385",17.5
"4386",12.5
"4387",27.5
"4388",17.5
"4389",6
"4390",22.5
"4391",17.5
"4392",6
"4393",0.5
"4394",12.5
"4395",4
"4396",12.5
"4397",6
"4398",2
"4399",2
"4400",17.5
"4401",12.5
"4402",8.5
"4403",8.5
"4404",32.5
"4405",6
"4406",2
"4407",17.5
"4408",2
"4409",6
"4410",37.5
"4411",4
"4412",12.5
"4413",12.5
"4414",12.5
"4415",0.5
"4416",4
"4417",8.5
"4418",4
"4419",6
"4420",17.5
"4421",8.5
"4422",4
"4423",8.5
"4424",22.5
"4425",37.5
"4426",6
"4427",8.5
"4428",0.5
"4429",17.5
"4430",12.5
"4431",4
"4432",12.5
"4433",8.5
"4434",8.5
"4435",4
"4436",37.5
"4437",17.5
"4438",27.5
"4439",42.5
"4440",12.5
"4441",8.5
"4442",8.5
"4443",17.5
"4444",8.5
"4445",37.5
"4446",2
"4447",8.5
"4448",8.5
"4449",2
"4450",27.5
"4451",8.5
"4452",17.5
"4453",2
"4454",17.5
"4455",4
"4456",92.5
"4457",6
"4458",4
"4459",6
"4460",4
"4461",17.5
"4462",6
"4463",4
"4464",6
"4465",17.5
"4466",4
"4467",0.5
"4468",4
"4469",8.5
"4470",4
"4471",4
"4472",0.5
"4473",2
"4474",27.5
"4475",17.5
"4476",8.5
"4477",32.5
"4478",4
"4479",42.5
"4480",17.5
"4481",4
"4482",12.5
"4483",12.5
"4484",6
"4485",17.5
"4486",12.5
"4487",6
"4488",8.5
"4489",4
"4490",8.5
"4491",6
"4492",6
"4493",2
"4494",4
"4495",6
"4496",2
"4497",6
"4498",32.5
"4499",32.5
"4500",6
"4501",62.5
"4502",6
"4503",17.5
"4504",22.5
"4505",2
"4506",17.5
"4507",17.5
"4508",4
"4509",32.5
"4510",2
"4511",32.5
"4512",12.5
"4513",4
"4514",6
"4515",17.5
"4516",8.5
"4517",6
"4518",6
"4519",0.5
"4520",22.5
"4521",12.5
"4522",2
"4523",2
"4524",12.5
"4525",22.5
"4526",22.5
"4527",27.5
"4528",4
"4529",8.5
"4530",17.5
"4531",12.5
"4532",12.5
"4533",2
"4534",42.5
"4535",22.5
"4536",2
"4537",37.5
"4538",42.5
"4539",0.5
"4540",47.5
"4541",6
"4542",37.5
"4543",2
"4544",8.5
"4545",8.5
"4546",47.5
"4547",8.5
"4548",37.5
"4549",17.5
"4550",32.5
"4551",27.5
"4552",8.5
"4553",17.5
"4554",27.5
"4555",2
"4556",12.5
"4557",8.5
"4558",32.5
"4559",6
"4560",57.5
"4561",37.5
"4562",8.5
"4563",2
"4564",12.5
"4565",8.5
"4566",2
"4567",27.5
"4568",22.5
"4569",17.5
"4570",12.5
"4571",2
"4572",32.5
"4573",2
"4574",8.5
"4575",17.5
"4576",22.5
"4577",2
"4578",12.5
"4579",6
"4580",0.5
"4581",32.5
"4582",12.5
"4583",2
"4584",2
"4585",12.5
"4586",22.5
"4587",22.5
"4588",4
"4589",6
"4590",17.5
"4591",22.5
"4592",32.5
"4593",6
"4594",47.5
"4595",17.5
"4596",0.5
"4597",57.5
"4598",4
"4599",6
"4600",12.5
"4601",12.5
"4602",8.5
"4603",4
"4604",12.5
"4605",6
"4606",6
"4607",8.5
"4608",2
"4609",27.5
"4610",22.5
"4611",2
"4612",17.5
"4613",2
"4614",8.5
"4615",17.5
"4616",12.5
"4617",2
"4618",6
"4619",2
"4620",8.5
"4621",0.5
"4622",12.5
"4623",22.5
"4624",42.5
"4625",12.5
"4626",2
"4627",37.5
"4628",4
"4629",22.5
"4630",2
"4631",4
"4632",17.5
"4633",37.5
"4634",2
"4635",4
"4636",2
"4637",42.5
"4638",12.5
"4639",12.5
"4640",4
"4641",52.5
"4642",17.5
"4643",8.5
"4644",12.5
"4645",8.5
"4646",4
"4647",12.5
"4648",12.5
"4649",4
"4650",8.5
"4651",12.5
"4652",4
"4653",12.5
"4654",12.5
"4655",2
"4656",4
"4657",2
"4658",12.5
"4659",2
"4660",12.5
"4661",17.5
"4662",8.5
"4663",4
"4664",17.5
"4665",2
"4666",2
"4667",57.5
"4668",22.5
"4669",22.5
"4670",32.5
"4671",57.5
"4672",22.5
"4673",17.5
"4674",22.5
"4675",27.5
"4676",0.5
"4677",2
"4678",6
"4679",27.5
"4680",52.5
"4681",72.5
"4682",2
"4683",57.5
"4684",2
"4685",12.5
"4686",8.5
"4687",12.5
"4688",2
"4689",8.5
"4690",12.5
"4691",12.5
"4692",12.5
"4693",4
"4694",12.5
"4695",2
"4696",8.5
"4697",4
"4698",22.5
"4699",2
"4700",8.5
"4701",2
"4702",8.5
"4703",17.5
"4704",37.5
"4705",22.5
"4706",2
"4707",12.5
"4708",12.5
"4709",4
"4710",8.5
"4711",4
"4712",2
"4713",17.5
"4714",2
"4715",2
"4716",2
"4717",27.5
"4718",8.5
"4719",17.5
"4720",2
"4721",4
"4722",2
"4723",2
"4724",17.5
"4725",12.5
"4726",8.5
"4727",6
"4728",22.5
"4729",2
"4730",37.5
"4731",17.5
"4732",4
"4733",47.5
"4734",0.5
"4735",12.5
"4736",0.5
"4737",2
"4738",17.5
"4739",22.5
"4740",17.5
"4741",2
"4742",0.5
"4743",8.5
"4744",2
"4745",0.5
"4746",2
"4747",8.5
"4748",12.5
"4749",42.5
"4750",2
"4751",8.5
"4752",6
"4753",37.5
"4754",12.5
"4755",22.5
"4756",2
"4757",4
"4758",6
"4759",2
"4760",0.5
"4761",2
"4762",6
"4763",2
"4764",4
"4765",6
"4766",2
"4767",22.5
"4768",6
"4769",8.5
"4770",8.5
"4771",8.5
"4772",27.5
"4773",12.5
"4774",12.5
"4775",12.5
"4776",2
"4777",0.5
"4778",42.5
"4779",8.5
"4780",2
"4781",4
"4782",0.5
"4783",2
"4784",22.5
"4785",4
"4786",4
"4787",27.5
"4788",17.5
"4789",32.5
"4790",6
"4791",2
"4792",2
"4793",6
"4794",42.5
"4795",17.5
"4796",17.5
"4797",27.5
"4798",4
"4799",6
"4800",12.5
"4801",2
"4802",4
"4803",37.5
"4804",12.5
"4805",22.5
"4806",8.5
"4807",27.5
"4808",6
"4809",27.5
"4810",22.5
"4811",4
"4812",6
"4813",2
"4814",4
"4815",8.5
"4816",6
"4817",32.5
"4818",22.5
"4819",22.5
"4820",4
"4821",8.5
"4822",8.5
"4823",12.5
"4824",17.5
"4825",4
"4826",4
"4827",4
"4828",2
"4829",17.5
"4830",17.5
"4831",8.5
"4832",17.5
"4833",0.5
"4834",6
"4835",17.5
"4836",4
"4837",12.5
"4838",8.5
"4839",12.5
"4840",17.5
"4841",4
"4842",17.5
"4843",42.5
"4844",8.5
"4845",8.5
"4846",8.5
"4847",12.5
"4848",17.5
"4849",4
"4850",22.5
"4851",8.5
"4852",2
"4853",2
"4854",27.5
"4855",4
"4856",12.5
"4857",6
"4858",27.5
"4859",12.5
"4860",8.5
"4861",17.5
"4862",32.5
"4863",6
"4864",62.5
"4865",8.5
"4866",8.5
"4867",8.5
"4868",2
"4869",27.5
"4870",17.5
"4871",0.5
"4872",6
"4873",4
"4874",12.5
"4875",6
"4876",27.5
"4877",4
"4878",12.5
"4879",8.5
"4880",8.5
"4881",8.5
"4882",12.5
"4883",17.5
"4884",47.5
"4885",22.5
"4886",8.5
"4887",2
"4888",8.5
"4889",12.5
"4890",2
"4891",8.5
"4892",22.5
"4893",8.5
"4894",12.5
"4895",6
"4896",17.5
"4897",17.5
"4898",2
"4899",17.5
"4900",4
"4901",2
"4902",8.5
"4903",2
"4904",2
"4905",12.5
"4906",27.5
"4907",0.5
"4908",2
"4909",17.5
"4910",6
"4911",22.5
"4912",2
"4913",2
"4914",6
"4915",2
"4916",8.5
"4917",4
"4918",12.5
"4919",12.5
"4920",12.5
"4921",8.5
"4922",17.5
"4923",4
"4924",17.5
"4925",2
"4926",72.5
"4927",12.5
"4928",32.5
"4929",17.5
"4930",8.5
"4931",22.5
"4932",17.5
"4933",17.5
"4934",12.5
"4935",2
"4936",8.5
"4937",12.5
"4938",2
"4939",6
"4940",17.5
"4941",12.5
"4942",12.5
"4943",8.5
"4944",22.5
"4945",8.5
"4946",8.5
"4947",6
"4948",2
"4949",2
"4950",2
"4951",27.5
"4952",2
"4953",12.5
"4954",2
"4955",12.5
"4956",17.5
"4957",8.5
"4958",2
"4959",2
"4960",17.5
"4961",17.5
"4962",17.5
"4963",22.5
"4964",22.5
"4965",8.5
"4966",2
"4967",47.5
"4968",2
"4969",0.5
"4970",17.5
"4971",6
"4972",0.5
"4973",12.5
"4974",2
"4975",8.5
"4976",6
"4977",42.5
"4978",22.5
"4979",12.5
"4980",8.5
"4981",2
"4982",8.5
"4983",6
"4984",12.5
"4985",12.5
"4986",17.5
"4987",17.5
"4988",6
"4989",6
"4990",27.5
"4991",17.5
"4992",4
"4993",37.5
"4994",17.5
"4995",2
"4996",22.5
"4997",42.5
"4998",8.5
"4999",4
"5000",4
"5001",6
"5002",22.5
"5003",2
"5004",12.5
"5005",6
"5006",52.5
"5007",17.5
"5008",22.5
"5009",4
"5010",22.5
"5011",12.5
"5012",12.5
"5013",22.5
"5014",6
"5015",8.5
"5016",2
"5017",8.5
"5018",22.5
"5019",17.5
"5020",8.5
"5021",2
"5022",0.5
"5023",52.5
"5024",8.5
"5025",22.5
"5026",4
"5027",37.5
"5028",6
"5029",8.5
"5030",0.5
"5031",4
"5032",32.5
"5033",4
"5034",12.5
"5035",8.5
"5036",2
"5037",2
"5038",2
"5039",12.5
"5040",4
"5041",17.5
"5042",6
"5043",8.5
"5044",12.5
"5045",17.5
"5046",47.5
"5047",4
"5048",6
"5049",17.5
"5050",4
"5051",17.5
"5052",6
"5053",0.5
"5054",6
"5055",4
"5056",32.5
"5057",12.5
"5058",8.5
"5059",0.5
"5060",6
"5061",12.5
"5062",6
"5063",12.5
"5064",6
"5065",4
"5066",0.5
"5067",0.5
"5068",4
"5069",2
"5070",42.5
"5071",8.5
"5072",22.5
"5073",37.5
"5074",4
"5075",42.5
"5076",17.5
"5077",22.5
"5078",8.5
"5079",12.5
"5080",17.5
"5081",4
"5082",22.5
"5083",2
"5084",2
"5085",2
"5086",17.5
"5087",12.5
"5088",2
"5089",4
"5090",8.5
"5091",4
"5092",6
"5093",2
"5094",17.5
"5095",12.5
"5096",0.5
"5097",12.5
"5098",12.5
"5099",6
"5100",47.5
"5101",8.5
"5102",6
"5103",17.5
"5104",47.5
"5105",2
"5106",8.5
"5107",52.5
"5108",4
"5109",12.5
"5110",2
"5111",17.5
"5112",2
"5113",0.5
"5114",17.5
"5115",12.5
"5116",22.5
"5117",22.5
"5118",2
"5119",2
"5120",2
"5121",0.5
"5122",57.5
"5123",2
"5124",32.5
"5125",27.5
"5126",4
"5127",2
"5128",42.5
"5129",17.5
"5130",17.5
"5131",12.5
"5132",12.5
"5133",4
"5134",4
"5135",4
"5136",4
"5137",4
"5138",12.5
"5139",0.5
"5140",0.5
"5141",6
"5142",12.5
"5143",17.5
"5144",17.5
"5145",32.5
"5146",42.5
"5147",17.5
"5148",17.5
"5149",22.5
"5150",17.5
"5151",12.5
"5152",12.5
"5153",22.5
"5154",2
"5155",8.5
"5156",37.5
"5157",4
"5158",12.5
"5159",4
"5160",12.5
"5161",12.5
"5162",8.5
"5163",37.5
"5164",22.5
"5165",8.5
"5166",8.5
"5167",12.5
"5168",4
"5169",4
"5170",12.5
"5171",17.5
"5172",2
"5173",4
"5174",17.5
"5175",8.5
"5176",4
"5177",4
"5178",6
"5179",32.5
"5180",2
"5181",12.5
"5182",27.5
"5183",22.5
"5184",0.5
"5185",22.5
"5186",6
"5187",8.5
"5188",32.5
"5189",6
"5190",4
"5191",8.5
"5192",2
"5193",4
"5194",12.5
"5195",17.5
"5196",42.5
"5197",82.5
"5198",12.5
"5199",2
"5200",4
"5201",4
"5202",4
"5203",17.5
"5204",8.5
"5205",52.5
"5206",8.5
"5207",4
"5208",0.5
"5209",12.5
"5210",8.5
"5211",17.5
"5212",2
"5213",8.5
"5214",6
"5215",22.5
"5216",6
"5217",22.5
"5218",4
"5219",22.5
"5220",12.5
"5221",4
"5222",2
"5223",6
"5224",22.5
"5225",6
"5226",4
"5227",8.5
"5228",2
"5229",12.5
"5230",47.5
"5231",42.5
"5232",4
"5233",22.5
"5234",4
"5235",6
"5236",2
"5237",17.5
"5238",27.5
"5239",6
"5240",17.5
"5241",2
"5242",8.5
"5243",22.5
"5244",37.5
"5245",27.5
"5246",4
"5247",6
"5248",8.5
"5249",6
"5250",22.5
"5251",12.5
"5252",8.5
"5253",2
"5254",4
"5255",8.5
"5256",12.5
"5257",2
"5258",2
"5259",12.5
"5260",32.5
"5261",42.5
"5262",12.5
"5263",12.5
"5264",4
"5265",6
"5266",2
"5267",32.5
"5268",27.5
"5269",22.5
"5270",17.5
"5271",12.5
"5272",12.5
"5273",32.5
"5274",8.5
"5275",17.5
"5276",4
"5277",17.5
"5278",8.5
"5279",8.5
"5280",12.5
"5281",27.5
"5282",37.5
"5283",12.5
"5284",12.5
"5285",12.5
"5286",12.5
"5287",17.5
"5288",2
"5289",4
"5290",8.5
"5291",17.5
"5292",4
"5293",2
"5294",6
"5295",2
"5296",8.5
"5297",2
"5298",17.5
"5299",17.5
"5300",32.5
"5301",42.5
"5302",17.5
"5303",4
"5304",17.5
"5305",8.5
"5306",8.5
"5307",8.5
"5308",6
"5309",4
"5310",42.5
"5311",8.5
"5312",22.5
"5313",6
"5314",47.5
"5315",57.5
"5316",52.5
"5317",6
"5318",0.5
"5319",6
"5320",12.5
"5321",8.5
"5322",17.5
"5323",2
"5324",6
"5325",17.5
"5326",47.5
"5327",2
"5328",6
"5329",22.5
"5330",8.5
"5331",8.5
"5332",47.5
"5333",8.5
"5334",4
"5335",27.5
"5336",0.5
"5337",6
"5338",2
"5339",8.5
"5340",22.5
"5341",12.5
"5342",17.5
"5343",4
"5344",8.5
"5345",27.5
"5346",37.5
"5347",4
"5348",4
"5349",8.5
"5350",4
"5351",17.5
"5352",17.5
"5353",8.5
"5354",22.5
"5355",2
"5356",8.5
"5357",22.5
"5358",0.5
"5359",4
"5360",4
"5361",0.5
"5362",52.5
"5363",6
"5364",4
"5365",12.5
"5366",32.5
"5367",17.5
"5368",17.5
"5369",22.5
"5370",4
"5371",2
"5372",4
"5373",0.5
"5374",0.5
"5375",2
"5376",2
"5377",12.5
"5378",2
"5379",6
"5380",12.5
"5381",6
"5382",8.5
"5383",17.5
"5384",12.5
"5385",22.5
"5386",4
"5387",67.5
"5388",32.5
"5389",52.5
"5390",6
"5391",17.5
"5392",2
"5393",27.5
"5394",12.5
"5395",2
"5396",27.5
"5397",27.5
"5398",2
"5399",8.5
"5400",4
"5401",0.5
"5402",8.5
"5403",17.5
"5404",2
"5405",17.5
"5406",8.5
"5407",32.5
"5408",8.5
"5409",6
"5410",17.5
"5411",6
"5412",2
"5413",4
"5414",37.5
"5415",8.5
"5416",2
"5417",6
"5418",12.5
"5419",12.5
"5420",2
"5421",22.5
"5422",17.5
"5423",57.5
"5424",27.5
"5425",6
"5426",2
"5427",17.5
"5428",2
"5429",17.5
"5430",17.5
"5431",4
"5432",22.5
"5433",2
"5434",8.5
"5435",17.5
"5436",52.5
"5437",12.5
"5438",6
"5439",17.5
"5440",32.5
"5441",2
"5442",6
"5443",0.5
"5444",32.5
"5445",17.5
"5446",17.5
"5447",6
"5448",8.5
"5449",22.5
"5450",37.5
"5451",8.5
"5452",8.5
"5453",37.5
"5454",22.5
"5455",32.5
"5456",8.5
"5457",47.5
"5458",32.5
"5459",12.5
"5460",27.5
"5461",2
"5462",17.5
"5463",12.5
"5464",12.5
"5465",22.5
"5466",17.5
"5467",4
"5468",6
"5469",4
"5470",32.5
"5471",2
"5472",4
"5473",67.5
"5474",8.5
"5475",0.5
"5476",2
"5477",12.5
"5478",12.5
"5479",17.5
"5480",12.5
"5481",2
"5482",4
"5483",4
"5484",27.5
"5485",12.5
"5486",17.5
"5487",6
"5488",17.5
"5489",37.5
"5490",12.5
"5491",22.5
"5492",22.5
"5493",2
"5494",6
"5495",2
"5496",42.5
"5497",12.5
"5498",2
"5499",8.5
"5500",27.5
"5501",8.5
"5502",27.5
"5503",2
"5504",17.5
"5505",22.5
"5506",2
"5507",12.5
"5508",4
"5509",6
"5510",17.5
"5511",2
"5512",27.5
"5513",17.5
"5514",52.5
"5515",8.5
"5516",12.5
"5517",32.5
"5518",4
"5519",8.5
"5520",8.5
"5521",0.5
"5522",17.5
"5523",4
"5524",8.5
"5525",17.5
"5526",22.5
"5527",27.5
"5528",22.5
"5529",8.5
"5530",2
"5531",12.5
"5532",17.5
"5533",37.5
"5534",8.5
"5535",6
"5536",27.5
"5537",12.5
"5538",2
"5539",12.5
"5540",12.5
"5541",47.5
"5542",42.5
"5543",47.5
"5544",12.5
"5545",42.5
"5546",22.5
"5547",27.5
"5548",6
"5549",4
"5550",17.5
"5551",8.5
"5552",4
"5553",2
"5554",22.5
"5555",8.5
"5556",2
"5557",6
"5558",2
"5559",12.5
"5560",6
"5561",0.5
"5562",8.5
"5563",6
"5564",8.5
"5565",8.5
"5566",27.5
"5567",27.5
"5568",2
"5569",2
"5570",4
"5571",12.5
"5572",47.5
"5573",4
"5574",17.5
"5575",2
"5576",37.5
"5577",4
"5578",2
"5579",2
"5580",8.5
"5581",12.5
"5582",2
"5583",12.5
"5584",27.5
"5585",8.5
"5586",12.5
"5587",17.5
"5588",22.5
"5589",4
"5590",6
"5591",8.5
"5592",6
"5593",6
"5594",2
"5595",12.5
"5596",6
"5597",27.5
"5598",27.5
"5599",52.5
"5600",8.5
"5601",8.5
"5602",0.5
"5603",4
"5604",4
"5605",17.5
"5606",2
"5607",0.5
"5608",8.5
"5609",12.5
"5610",22.5
"5611",6
"5612",8.5
"5613",32.5
"5614",22.5
"5615",2
"5616",2
"5617",12.5
"5618",17.5
"5619",12.5
"5620",2
"5621",6
"5622",22.5
"5623",47.5
"5624",4
"5625",2
"5626",22.5
"5627",22.5
"5628",2
"5629",47.5
"5630",12.5
"5631",12.5
"5632",0.5
"5633",17.5
"5634",8.5
"5635",4
"5636",22.5
"5637",8.5
"5638",4
"5639",17.5
"5640",12.5
"5641",8.5
"5642",6
"5643",12.5
"5644",4
"5645",6
"5646",12.5
"5647",4
"5648",12.5
"5649",8.5
"5650",2
"5651",22.5
"5652",12.5
"5653",6
"5654",67.5
"5655",27.5
"5656",4
"5657",17.5
"5658",17.5
"5659",8.5
"5660",6
"5661",82.5
"5662",47.5
"5663",8.5
"5664",4
"5665",42.5
"5666",2
"5667",12.5
"5668",4
"5669",6
"5670",4
"5671",12.5
"5672",8.5
"5673",8.5
"5674",8.5
"5675",8.5
"5676",42.5
"5677",8.5
"5678",22.5
"5679",12.5
"5680",17.5
"5681",32.5
"5682",12.5
"5683",4
"5684",17.5
"5685",12.5
"5686",2
"5687",2
"5688",4
"5689",2
"5690",2
"5691",2
"5692",17.5
"5693",4
"5694",2
"5695",2
"5696",6
"5697",37.5
"5698",17.5
"5699",12.5
"5700",2
"5701",32.5
"5702",6
"5703",4
"5704",22.5
"5705",12.5
"5706",17.5
"5707",4
"5708",42.5
"5709",22.5
"5710",8.5
"5711",6
"5712",32.5
"5713",22.5
"5714",8.5
"5715",62.5
"5716",4
"5717",4
"5718",47.5
"5719",8.5
"5720",6
"5721",12.5
"5722",2
"5723",0.5
"5724",2
"5725",0.5
"5726",6
"5727",4
"5728",6
"5729",8.5
"5730",4
"5731",4
"5732",42.5
"5733",57.5
"5734",8.5
"5735",17.5
"5736",6
"5737",17.5
"5738",6
"5739",0.5
"5740",22.5
"5741",12.5
"5742",6
"5743",22.5
"5744",27.5
"5745",8.5
"5746",57.5
"5747",0.5
"5748",4
"5749",6
"5750",4
"5751",2
"5752",17.5
"5753",32.5
"5754",2
"5755",4
"5756",12.5
"5757",57.5
"5758",22.5
"5759",6
"5760",8.5
"5761",2
"5762",12.5
"5763",8.5
"5764",17.5
"5765",12.5
"5766",4
"5767",17.5
"5768",87.5
"5769",37.5
"5770",12.5
"5771",12.5
"5772",12.5
"5773",2
"5774",8.5
"5775",6
"5776",17.5
"5777",47.5
"5778",2
"5779",17.5
"5780",2
"5781",17.5
"5782",12.5
"5783",17.5
"5784",17.5
"5785",32.5
"5786",2
"5787",2
"5788",2
"5789",6
"5790",17.5
"5791",0.5
"5792",8.5
"5793",8.5
"5794",17.5
"5795",2
"5796",2
"5797",17.5
"5798",0.5
"5799",2
"5800",2
"5801",72.5
"5802",57.5
"5803",2
"5804",2
"5805",8.5
"5806",2
"5807",12.5
"5808",2
"5809",8.5
"5810",2
"5811",17.5
"5812",17.5
"5813",12.5
"5814",6
"5815",27.5
"5816",12.5
"5817",67.5
"5818",12.5
"5819",17.5
"5820",17.5
"5821",2
"5822",2
"5823",12.5
"5824",8.5
"5825",22.5
"5826",17.5
"5827",17.5
"5828",2
"5829",72.5
"5830",12.5
"5831",17.5
"5832",2
"5833",37.5
"5834",2
"5835",6
"5836",12.5
"5837",4
"5838",4
"5839",32.5
"5840",4
"5841",6
"5842",4
"5843",4
"5844",27.5
"5845",12.5
"5846",17.5
"5847",12.5
"5848",2
"5849",2
"5850",37.5
"5851",2
"5852",4
"5853",8.5
"5854",12.5
"5855",8.5
"5856",17.5
"5857",4
"5858",12.5
"5859",6
"5860",42.5
"5861",8.5
"5862",0.5
"5863",12.5
"5864",22.5
"5865",27.5
"5866",12.5
"5867",6
"5868",2
"5869",2
"5870",8.5
"5871",22.5
"5872",57.5
"5873",17.5
"5874",6
"5875",27.5
"5876",12.5
"5877",4
"5878",2
"5879",12.5
"5880",2
"5881",6
"5882",6
"5883",17.5
"5884",6
"5885",12.5
"5886",22.5
"5887",12.5
"5888",2
"5889",4
"5890",27.5
"5891",12.5
"5892",8.5
"5893",12.5
"5894",27.5
"5895",8.5
"5896",2
"5897",2
"5898",6
"5899",6
"5900",4
"5901",4
"5902",12.5
"5903",17.5
"5904",12.5
"5905",2
"5906",17.5
"5907",32.5
"5908",37.5
"5909",37.5
"5910",4
"5911",2
